0:01:04.944673
Plot pollution (instant)
         3237028 function calls (3162394 primitive calls) in 70.773 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.001    0.000    0.035    0.007 tables.py:752(read_column_list)
       49    0.000    0.000    0.035    0.001 backend_bases.py:1536(<listcomp>)
        1    0.000    0.000    0.035    0.035 figure.py:12(<module>)
        1    0.000    0.000    0.035    0.035 setup.py:59(load_setup_file)
        1    0.000    0.000    0.035    0.035 setup.py:6(load_setup)
       49    0.000    0.000    0.034    0.001 _base.py:2019(in_axes)
        1    0.000    0.000    0.034    0.034 pyplot.py:967(subplot)
        1    0.000    0.000    0.034    0.034 figure.py:979(add_subplot)
       49    0.001    0.000    0.034    0.001 patches.py:140(contains)
      677    0.003    0.000    0.034    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.034    0.034 _subplots.py:23(__init__)
        1    0.000    0.000    0.033    0.033 _base.py:420(__init__)
        6    0.000    0.000    0.033    0.006 subprocess.py:608(__init__)
      117    0.005    0.000    0.033    0.000 chronometer.py:678(get_status_text)
        6    0.001    0.000    0.033    0.005 subprocess.py:1228(_execute_child)
        2    0.000    0.000    0.033    0.016 parsers.py:536(parser_f)
        2    0.000    0.000    0.033    0.016 parsers.py:403(_read)
 1746/185    0.008    0.000    0.032    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.032    0.032 setup.py:47(convert_colors)
     6854    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
    20/12    0.000    0.000    0.032    0.003 colors.py:18(get_color)
        4    0.000    0.000    0.032    0.008 colors.py:47(get_custom_color)
    22823    0.009    0.000    0.032    0.000 series.py:476(_values)
    22795    0.010    0.000    0.032    0.000 series.py:406(dtype)
      551    0.001    0.000    0.031    0.000 _decorators.py:310(__call__)
        1    0.000    0.000    0.031    0.031 _bvp.py:1(<module>)
    11370    0.012    0.000    0.031    0.000 managers.py:147(set_axis)
        2    0.000    0.000    0.031    0.015 __init__.py:25(<module>)
       21    0.000    0.000    0.031    0.001 six.py:91(__get__)
        1    0.000    0.000    0.031    0.031 geometry.py:232(compute_lonlat_bounds)
       21    0.000    0.000    0.031    0.001 six.py:80(_import_module)
        1    0.000    0.000    0.030    0.030 contour.py:3(<module>)
        1    0.000    0.000    0.030    0.030 _subplots.py:1(<module>)
        2    0.000    0.000    0.030    0.015 pyparsing.py:61(<module>)
    23214    0.015    0.000    0.029    0.000 common.py:1845(_is_dtype_type)
25356/25337    0.028    0.000    0.029    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.029    0.029 backend_tkagg.py:216(resize)
        1    0.000    0.000    0.029    0.029 collections.py:10(<module>)
        1    0.000    0.000    0.028    0.028 backend_tkagg.py:172(__init__)
    22740    0.028    0.000    0.028    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
      274    0.000    0.000    0.028    0.000 __init__.py:2823(_reload_version)
        4    0.000    0.000    0.028    0.007 tables.py:881(read_column_list_with_headers)
        2    0.000    0.000    0.028    0.014 base.py:7(<module>)
        2    0.000    0.000    0.028    0.014 ops.py:1389(f)
      990    0.003    0.000    0.028    0.000 inspect.py:2183(_signature_from_callable)
    15677    0.011    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
       12    0.000    0.000    0.028    0.002 axis.py:742(cla)
        2    0.000    0.000    0.027    0.014 ops.py:1536(wrapper)
     1152    0.016    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      274    0.001    0.000    0.027    0.000 __init__.py:2429(_version_from_file)
        4    0.000    0.000    0.027    0.007 util.py:311(find_library)
        4    0.000    0.000    0.027    0.007 util.py:248(_findSoname_ldconfig)
    22741    0.005    0.000    0.027    0.000 base.py:421(geom_type)
      170    0.002    0.000    0.026    0.000 {built-in method builtins.sorted}
      2/1    0.000    0.000    0.026    0.026 backend_tkagg.py:303(draw)
        2    0.000    0.000    0.026    0.013 __init__.py:2487(create_image)
        2    0.000    0.000    0.026    0.013 __init__.py:2470(_create)
        1    0.000    0.000    0.026    0.026 record_file.py:30(__init__)
        1    0.000    0.000    0.026    0.026 record_file.py:398(initialize)
